project_id,industry,team_size,budget_k,duration_months,complexity,vendor_count,risk_score,stakeholder_engagement,actual_cost_k,success,satisfaction
P0377,Technology,8,404,6,5.65,1,0.92,5,556.35,0,9.87
P0378,Finance,4,322,5,6.73,2,0.69,1,464.16,0,3.18
P0379,Manufacturing,19,359,23,6.33,2,0.1,1,446.32,0,1.11
P0380,Technology,8,277,6,4.95,1,0.76,5,376.78,0,10.0
P0381,Technology,11,469,15,3.67,5,0.64,5,590.9,0,10.0
P0382,Retail,20,53,16,3.03,0,0.98,3,71.85,0,5.27
P0383,Healthcare,6,190,11,3.93,2,0.34,5,218.06,1,10.0
P0384,Technology,18,480,4,8.61,0,0.66,1,777.67,0,2.41
P0385,Healthcare,8,175,9,7.92,3,0.91,4,274.68,0,8.16
P0386,Finance,3,317,7,3.0,5,0.22,3,329.17,1,7.6
P0387,Manufacturing,6,173,19,5.02,2,0.9,2,280.1,0,3.89
P0388,Retail,12,323,17,6.86,0,0.42,1,473.77,0,1.43
P0389,Healthcare,3,447,20,5.52,6,0.04,1,546.83,0,1.67
P0390,Healthcare,19,134,11,5.63,2,0.64,1,185.76,0,2.99
P0391,Healthcare,12,307,11,1.38,2,0.47,1,329.3,1,6.27
P0392,Technology,7,499,8,9.47,0,0.9,1,858.81,0,1.25
P0393,Finance,6,235,23,2.2,3,0.99,3,254.65,0,5.95
P0394,Healthcare,7,226,4,5.53,1,0.01,4,299.14,0,8.98
P0395,Healthcare,4,490,6,6.5,1,0.64,3,701.15,0,5.65
P0396,Healthcare,9,55,11,7.07,0,0.72,5,81.23,0,10.0
P0397,Finance,5,421,10,8.99,0,0.95,4,743.7,0,8.95
P0398,Retail,11,191,9,8.22,1,0.95,3,343.75,0,4.87
P0399,Manufacturing,17,292,23,1.24,1,0.36,4,293.77,1,10.0
P0400,Technology,12,406,12,8.95,3,0.81,4,690.34,0,8.78
P0401,Retail,20,69,23,2.83,2,0.26,2,55.44,1,8.02
P0402,Retail,13,236,16,9.54,1,0.92,5,386.41,0,10.0
P0403,Healthcare,11,210,16,4.61,4,0.44,3,285.78,0,7.26
P0404,Manufacturing,18,137,16,2.45,2,0.64,4,177.34,0,9.6
P0405,Finance,18,272,5,3.74,1,0.46,1,324.52,0,1.75
P0406,Manufacturing,17,344,11,2.69,3,0.94,2,457.88,0,5.13
P0407,Retail,19,167,15,7.16,3,0.84,1,250.1,0,3.08
P0408,Healthcare,12,117,19,4.0,3,0.84,5,173.69,0,8.98
P0409,Finance,10,209,4,7.81,2,0.74,4,338.99,0,7.87
P0410,Healthcare,18,420,16,3.24,3,0.34,5,482.59,1,10.0
P0411,Manufacturing,20,124,9,5.33,2,0.33,1,163.21,0,1.4
P0412,Healthcare,18,318,3,3.97,1,0.92,4,419.37,0,7.94
P0413,Manufacturing,18,413,23,7.71,1,0.53,4,619.78,0,8.58
P0414,Finance,7,193,22,3.2,3,0.1,5,224.85,0,9.61
P0415,Manufacturing,5,254,5,9.68,1,0.34,4,378.88,0,5.4
P0416,Technology,8,305,8,2.22,2,0.94,2,387.74,0,4.8
P0417,Technology,15,364,16,5.76,2,0.53,3,516.92,0,4.89
P0418,Healthcare,8,333,3,9.18,1,0.15,5,481.58,0,10.0
P0419,Manufacturing,17,333,3,2.82,1,0.72,5,418.13,0,9.62
P0420,Finance,14,202,15,4.12,0,0.24,5,246.47,0,8.28
P0421,Retail,7,173,15,5.32,1,0.73,4,248.69,0,7.69
P0422,Manufacturing,7,99,21,1.34,3,0.18,3,103.78,1,7.66
P0423,Healthcare,11,277,6,9.15,2,0.94,3,480.55,0,4.08
P0424,Finance,6,209,3,7.42,1,0.6,3,282.26,0,5.87
P0425,Technology,14,104,3,8.25,0,0.39,1,155.81,0,2.54
P0426,Manufacturing,5,446,4,6.35,2,0.49,1,631.39,0,3.1
P0427,Healthcare,16,374,18,9.15,0,0.08,1,543.36,0,2.86
P0428,Healthcare,6,80,20,9.39,3,0.59,5,139.6,0,8.2
P0429,Finance,6,377,6,2.34,1,0.23,2,389.69,1,5.27
P0430,Retail,6,414,3,5.1,2,0.61,1,571.04,0,0.75
P0431,Finance,19,248,13,8.27,2,0.79,3,389.28,0,7.19
P0432,Healthcare,19,403,23,4.34,3,0.53,1,536.11,0,2.86
P0433,Manufacturing,16,97,11,1.51,4,0.21,5,100.89,1,10.0
P0434,Finance,18,467,21,3.17,4,0.47,4,550.88,0,9.37
P0435,Retail,15,421,22,8.46,2,0.42,1,622.97,0,3.33
P0436,Retail,7,106,12,2.27,2,0.68,1,122.38,0,1.19
P0437,Retail,15,59,12,6.75,1,0.48,2,88.67,0,5.07
P0438,Retail,14,351,7,3.15,2,0.01,4,356.58,1,9.13
P0439,Technology,13,493,23,8.54,0,0.14,3,683.84,0,7.77
P0440,Manufacturing,8,317,21,9.31,4,0.57,4,502.86,0,7.6
P0441,Finance,20,407,18,8.91,0,0.99,1,704.64,0,0.35
P0442,Finance,3,245,5,4.13,1,0.02,5,249.51,1,10.0
P0443,Finance,7,146,7,1.27,1,0.01,1,133.93,1,3.36
P0444,Technology,11,155,18,9.66,2,0.47,5,249.27,0,10.0
P0445,Healthcare,12,384,11,9.95,3,0.04,5,574.18,0,9.16
P0446,Retail,9,437,4,8.29,2,0.23,5,636.18,0,9.24
P0447,Retail,20,120,18,8.62,2,0.32,1,186.03,0,0.0
P0448,Manufacturing,8,61,16,1.64,1,0.62,3,70.55,0,6.89
P0449,Finance,10,451,23,3.45,1,0.98,5,605.08,0,10.0
P0450,Healthcare,12,212,9,7.95,1,0.49,1,347.23,0,2.81
P0451,Finance,20,379,4,2.3,3,0.7,3,463.29,0,5.92
P0452,Finance,6,227,8,6.9,1,0.76,3,330.33,0,4.91
P0453,Healthcare,14,424,10,3.58,1,0.85,5,575.61,0,9.77
P0454,Healthcare,7,498,16,2.54,5,0.79,2,627.91,0,5.03
P0455,Healthcare,6,412,11,7.42,1,0.13,2,542.68,0,5.32
P0456,Healthcare,14,195,14,1.04,4,0.51,1,210.23,0,3.01
P0457,Healthcare,9,130,22,1.51,2,0.16,4,125.78,1,10.0
P0458,Retail,3,468,7,4.7,3,0.78,1,630.21,0,1.77
P0459,Technology,12,198,15,5.23,0,0.02,3,237.19,0,6.0
P0460,Retail,20,323,22,3.25,0,0.28,2,343.28,1,6.41
P0461,Manufacturing,20,225,9,4.19,0,0.98,5,281.61,0,7.55
P0462,Healthcare,3,65,5,7.64,0,0.93,3,85.69,0,5.92
P0463,Manufacturing,6,365,22,3.6,4,0.15,5,397.41,1,10.0
P0464,Finance,16,308,23,8.89,4,0.72,2,516.08,0,4.14
P0465,Technology,13,341,5,1.52,2,0.33,1,352.18,1,3.54
P0466,Finance,7,276,20,4.92,0,0.17,3,312.21,1,9.98
P0467,Retail,13,254,17,4.76,3,0.75,1,356.82,0,3.68
P0468,Manufacturing,3,149,21,5.23,4,0.18,2,201.65,0,3.26
P0469,Manufacturing,10,310,20,1.7,1,0.22,1,290.16,1,1.66
P0470,Manufacturing,13,471,8,9.68,1,0.28,3,745.53,0,7.5
P0471,Healthcare,3,160,7,3.22,4,0.97,1,219.39,0,1.74
P0472,Retail,14,364,18,5.14,0,0.74,3,512.09,0,7.51
P0473,Healthcare,11,257,11,6.51,0,0.29,3,326.53,0,6.63
P0474,Healthcare,19,207,15,3.02,2,0.89,1,270.95,0,1.74
P0475,Retail,11,351,18,9.6,0,0.78,1,607.4,0,3.16
P0476,Manufacturing,13,327,14,8.1,2,0.12,5,475.38,0,9.34
P0477,Manufacturing,8,174,16,2.26,3,0.79,2,210.2,0,5.29
P0478,Technology,17,420,14,1.12,3,0.07,3,368.02,1,7.96
P0479,Retail,3,110,6,3.34,0,0.7,1,119.04,0,1.67
P0480,Manufacturing,19,491,6,6.98,4,0.61,1,728.04,0,2.81
P0481,Retail,10,53,14,8.11,3,0.96,1,87.25,0,2.28
P0482,Healthcare,8,219,9,8.37,1,0.15,3,305.2,0,4.69
P0483,Technology,15,362,4,6.24,4,0.01,4,432.57,0,8.89
P0484,Healthcare,15,204,17,2.84,3,0.01,4,212.06,1,10.0
P0485,Technology,16,454,15,9.97,1,0.92,1,800.84,0,2.62
P0486,Technology,5,251,5,6.15,2,0.28,2,329.76,0,4.36
P0487,Retail,13,437,17,2.52,0,0.41,1,480.73,1,3.76
P0488,Retail,18,117,3,1.71,0,0.32,4,128.78,1,9.72
P0489,Retail,16,144,4,5.14,2,0.28,4,173.38,0,6.39
P0490,Healthcare,12,268,19,3.66,4,0.54,5,316.79,0,9.89
P0491,Manufacturing,11,91,12,8.9,2,0.11,2,153.86,0,4.98
P0492,Retail,12,414,15,1.41,3,0.9,4,503.91,0,6.46
P0493,Technology,5,116,3,1.43,3,0.79,5,141.94,0,10.0
P0494,Retail,3,162,16,6.55,1,0.86,3,248.06,0,6.03
P0495,Technology,17,248,13,3.79,1,0.74,1,330.18,0,4.0
P0496,Finance,19,168,4,1.32,2,0.37,4,197.06,0,7.73
P0497,Finance,14,95,20,9.24,4,0.44,1,131.62,0,0.7
P0498,Manufacturing,6,125,3,3.33,3,0.8,2,138.8,0,3.35
P0499,Finance,15,114,23,9.27,2,0.11,4,150.5,0,9.29
P0500,Healthcare,8,325,5,3.71,1,0.58,3,399.87,0,6.33
P0501,Manufacturing,16,179,17,2.5,1,0.06,1,165.9,1,3.63
P0502,Manufacturing,19,403,23,2.15,1,0.04,1,396.44,1,2.16
P0503,Technology,6,78,14,8.81,0,0.98,3,130.15,0,4.61
P0504,Healthcare,13,129,23,5.52,1,0.29,5,180.43,0,9.39
P0505,Manufacturing,12,262,19,9.82,2,0.13,3,377.08,0,4.18
P0506,Manufacturing,18,244,14,8.53,5,0.86,4,414.48,0,8.42
P0507,Technology,15,269,22,8.01,3,0.54,4,418.22,0,7.78
P0508,Healthcare,14,351,8,4.46,0,0.23,3,436.05,0,6.75
P0509,Retail,16,285,5,1.28,2,0.63,5,312.82,0,10.0
P0510,Manufacturing,3,437,8,3.34,2,0.03,5,446.3,1,10.0
P0511,Manufacturing,6,242,20,7.8,2,0.43,3,377.19,0,7.23
P0512,Technology,7,198,13,8.55,3,0.11,5,300.95,0,10.0
P0513,Retail,16,346,13,3.2,2,0.56,3,415.56,0,6.14
P0514,Healthcare,12,70,17,1.53,0,0.82,5,70.04,0,9.18
P0515,Technology,7,484,22,2.01,1,0.0,5,472.43,1,10.0
P0516,Manufacturing,7,442,16,7.78,2,0.54,2,662.47,0,5.14
P0517,Finance,10,472,7,1.07,1,0.65,5,528.35,0,9.67
P0518,Retail,19,149,12,7.14,1,0.88,3,242.45,0,7.2
P0519,Finance,20,322,21,4.23,1,0.94,3,460.46,0,6.08
P0520,Manufacturing,5,143,5,9.21,2,0.42,1,218.97,0,3.03
P0521,Retail,15,153,8,4.53,1,0.27,3,206.29,0,5.15
P0522,Retail,19,445,5,5.69,1,0.79,4,655.26,0,8.91
P0523,Finance,10,233,23,6.28,1,0.0,4,297.58,0,10.0
P0524,Manufacturing,7,200,12,6.99,2,0.74,1,304.59,0,2.52
P0525,Technology,15,439,3,1.36,2,0.56,1,462.12,0,1.57
P0526,Technology,8,275,12,1.88,5,0.62,4,312.33,0,7.99
P0527,Retail,16,297,16,3.48,0,0.69,4,410.43,0,7.91
P0528,Technology,18,226,16,3.06,0,0.14,3,241.99,1,9.13
P0529,Finance,18,144,3,6.64,3,0.97,5,236.41,0,10.0
P0530,Healthcare,17,247,12,3.85,1,0.99,1,332.65,0,1.93
P0531,Technology,16,256,21,3.37,3,0.24,4,287.49,1,7.96
P0532,Finance,10,460,21,3.33,2,0.01,2,461.39,1,6.56
P0533,Healthcare,17,62,6,4.69,2,0.36,1,86.79,0,2.94
P0534,Retail,14,304,22,6.29,2,0.9,1,467.6,0,1.67
P0535,Manufacturing,6,373,13,5.76,2,0.12,4,470.2,0,7.94
P0536,Retail,18,227,21,9.12,3,0.43,2,364.97,0,5.63
P0537,Technology,6,378,4,1.29,3,0.37,2,371.23,1,6.16
P0538,Manufacturing,10,62,23,7.98,5,0.95,4,114.41,0,7.7
P0539,Manufacturing,4,58,18,3.54,3,0.56,2,68.3,0,2.2
P0540,Healthcare,9,237,21,4.96,5,0.46,1,288.43,0,1.53
P0541,Manufacturing,19,218,17,2.1,3,0.6,1,248.72,0,2.53
P0542,Technology,12,99,20,6.21,3,0.24,5,123.25,0,10.0
P0543,Finance,8,284,12,6.59,2,0.38,3,384.38,0,5.27
P0544,Healthcare,3,363,23,2.04,2,0.29,5,369.01,1,10.0
P0545,Healthcare,20,323,5,3.73,2,0.7,1,415.8,0,4.7
P0546,Technology,5,289,9,3.53,0,0.89,4,396.1,0,7.27
P0547,Healthcare,3,79,3,4.4,1,0.93,4,125.59,0,8.35
P0548,Finance,13,398,8,8.88,3,0.15,2,546.97,0,5.49
P0549,Retail,14,216,7,2.84,0,0.19,5,209.64,1,10.0
P0550,Retail,12,91,9,8.7,1,0.89,1,168.76,0,1.57
P0551,Technology,18,362,9,4.41,1,0.4,2,441.6,0,4.09
P0552,Manufacturing,11,339,15,6.82,1,0.82,2,538.72,0,4.18
P0553,Healthcare,12,215,4,7.87,4,0.17,1,304.41,0,1.72
P0554,Healthcare,19,434,14,5.92,1,0.21,1,530.23,0,2.25
P0555,Manufacturing,17,276,21,4.95,1,0.39,3,336.45,0,6.2
P0556,Technology,4,457,3,8.51,2,0.23,4,648.25,0,7.03
P0557,Technology,4,429,8,1.23,3,0.68,5,473.93,0,10.0
P0558,Retail,13,416,8,2.53,0,0.9,4,526.22,0,6.87
P0559,Retail,14,214,5,4.72,1,0.16,2,240.34,1,6.8
P0560,Retail,11,351,21,7.72,3,0.67,5,503.7,0,10.0
P0561,Healthcare,12,448,18,6.66,2,0.32,2,615.1,0,4.59
P0562,Retail,20,473,20,4.84,4,0.75,5,651.93,0,10.0
P0563,Retail,5,471,23,5.64,3,0.16,5,572.4,0,10.0
P0564,Technology,18,192,9,9.31,5,0.81,4,356.05,0,8.54
P0565,Finance,15,76,7,3.99,4,0.64,3,104.43,0,7.03
P0566,Healthcare,14,236,11,6.47,2,0.52,2,336.1,0,3.47
P0567,Technology,11,304,11,9.97,2,0.57,2,502.53,0,4.54
P0568,Healthcare,3,352,22,8.99,1,0.19,2,511.69,0,1.89
P0569,Finance,10,280,6,7.48,2,0.66,1,427.2,0,1.03
P0570,Retail,17,292,10,1.38,2,0.18,1,245.58,1,4.13
P0571,Finance,17,448,6,9.39,2,0.47,3,721.11,0,5.92
P0572,Finance,20,414,23,9.84,2,0.16,4,607.45,0,6.6
P0573,Manufacturing,5,334,22,1.4,1,0.76,1,413.01,0,2.07
P0574,Technology,17,253,15,8.01,1,0.01,3,327.62,0,6.85
P0575,Retail,12,352,16,5.46,0,0.64,5,495.5,0,10.0
P0576,Healthcare,12,194,20,5.59,3,0.17,1,239.39,0,1.64
P0577,Technology,11,256,9,1.33,1,0.2,4,246.59,1,10.0
P0578,Retail,12,241,15,4.17,2,0.67,1,305.93,0,0.62
P0579,Finance,15,340,21,9.61,1,0.93,4,590.76,0,7.55
P0580,Retail,16,62,12,7.1,1,0.44,4,100.13,0,7.3
P0581,Healthcare,16,309,22,8.01,0,0.69,5,471.03,0,9.45
P0582,Retail,18,252,21,5.48,0,0.86,5,346.61,0,10.0
P0583,Healthcare,4,173,19,5.66,2,0.7,5,274.74,0,10.0
P0584,Technology,20,177,11,9.94,1,0.57,2,281.32,0,5.0
P0585,Technology,6,308,14,3.59,4,0.31,3,334.04,1,9.39
P0586,Technology,8,378,11,4.47,2,0.49,1,466.45,0,1.89
P0587,Healthcare,7,321,17,1.92,0,0.13,3,292.6,1,6.98
P0588,Healthcare,12,321,21,6.65,5,0.03,3,390.56,0,5.01
P0589,Retail,4,334,18,3.93,1,0.15,1,361.9,1,4.33
P0590,Retail,11,323,14,6.78,3,0.2,1,403.89,0,2.52
P0591,Manufacturing,12,415,12,6.94,4,0.29,3,556.97,0,5.6
P0592,Finance,18,50,10,4.25,1,0.18,3,49.82,1,9.03
P0593,Manufacturing,20,324,21,9.75,3,0.74,1,568.83,0,1.87
P0594,Healthcare,15,451,12,5.42,2,0.07,1,528.19,0,3.13
P0595,Retail,12,102,7,5.74,3,0.13,1,112.22,1,3.99
P0596,Technology,4,440,23,2.86,0,1.0,2,557.38,0,3.8
P0597,Finance,4,410,3,9.07,1,0.14,5,574.63,0,10.0
P0598,Technology,13,205,8,7.41,4,0.27,3,282.73,0,6.79
P0599,Retail,17,299,10,8.5,2,0.09,3,448.58,0,6.12
P0600,Retail,20,123,15,1.18,0,0.43,5,136.34,1,10.0
P0601,Manufacturing,6,132,15,5.14,1,0.98,2,197.73,0,5.14
P0602,Finance,14,61,11,7.28,3,0.07,1,71.29,0,1.35
P0603,Healthcare,19,266,10,2.46,1,0.37,4,292.59,1,10.0
P0604,Manufacturing,9,263,12,2.52,2,0.9,1,340.51,0,2.35
P0605,Healthcare,19,381,9,5.7,5,0.55,2,522.61,0,3.38
P0606,Finance,12,138,3,7.94,3,0.58,5,193.56,0,10.0
P0607,Technology,16,259,17,8.35,0,0.3,4,392.03,0,7.92
P0608,Retail,15,249,21,1.61,2,0.54,1,265.78,0,1.98
P0609,Finance,15,190,14,1.8,1,0.73,4,190.03,0,8.44
P0610,Technology,9,467,3,3.51,0,0.86,3,585.88,0,4.32
P0611,Healthcare,10,189,21,8.28,0,0.84,5,285.72,0,10.0
P0612,Technology,11,220,10,6.09,3,0.63,2,313.71,0,3.14
P0613,Retail,18,484,5,6.93,1,0.15,4,632.55,0,6.77
P0614,Manufacturing,13,249,18,7.37,4,0.09,5,290.36,0,10.0
P0615,Healthcare,17,179,18,2.17,2,0.0,4,180.19,1,8.63
P0616,Technology,5,499,3,8.33,2,0.67,3,796.73,0,7.11
P0617,Retail,19,99,6,8.88,4,0.57,3,170.29,0,6.44
P0618,Technology,3,479,10,2.92,2,0.05,4,481.73,1,10.0
P0619,Manufacturing,12,269,23,6.63,3,0.15,4,333.85,0,8.27
P0620,Retail,4,173,11,1.55,1,0.75,3,181.47,0,6.37
P0621,Healthcare,12,230,14,8.58,2,0.46,5,350.51,0,10.0
P0622,Healthcare,9,335,9,9.88,2,0.97,3,571.64,0,5.9
P0623,Technology,15,226,21,5.16,1,0.31,3,274.37,0,5.11
P0624,Technology,12,472,13,5.02,3,0.33,5,595.93,0,10.0
P0625,Retail,11,58,6,5.97,1,0.74,4,84.22,0,7.76
P0626,Manufacturing,7,482,15,8.04,1,0.97,3,805.99,0,5.98
P0627,Healthcare,16,398,9,5.67,3,0.56,3,524.41,0,6.18
P0628,Retail,6,331,7,8.45,4,0.96,2,533.9,0,5.58
P0629,Technology,8,315,20,2.32,0,0.04,2,294.1,1,7.72
P0630,Healthcare,14,387,8,6.14,1,0.02,2,459.56,0,3.64
P0631,Healthcare,4,103,22,8.82,1,0.89,4,169.15,0,8.98
P0632,Finance,9,161,9,5.95,2,0.52,4,222.35,0,6.59
P0633,Retail,11,203,20,1.61,1,0.95,5,242.96,0,9.42
P0634,Manufacturing,16,439,21,1.98,3,0.43,5,457.41,1,10.0
P0635,Retail,6,67,18,3.25,3,0.19,4,76.59,1,10.0
P0636,Finance,20,135,3,1.5,2,0.57,1,141.91,0,2.52
P0637,Finance,20,104,22,6.0,1,0.41,1,137.35,0,1.89
P0638,Healthcare,20,113,21,9.52,3,0.01,5,141.54,0,10.0
P0639,Retail,17,266,11,4.69,4,0.59,4,357.47,0,7.07
P0640,Manufacturing,17,319,20,4.75,6,0.68,4,437.67,0,8.21
P0641,Manufacturing,13,222,13,3.06,0,0.92,3,271.72,0,4.59
P0642,Retail,4,336,11,1.88,1,0.07,2,318.05,1,5.18
P0643,Finance,14,392,5,9.32,1,0.97,1,694.18,0,2.27
P0644,Manufacturing,15,161,23,6.0,2,0.61,5,214.63,0,10.0
P0645,Finance,11,334,11,2.55,2,0.36,2,355.44,1,3.56
P0646,Healthcare,11,481,4,9.41,3,0.98,4,845.64,0,7.2
P0647,Manufacturing,6,139,11,3.01,2,0.61,1,165.95,0,2.9
P0648,Healthcare,18,324,21,4.78,3,0.7,3,415.62,0,5.59
P0649,Healthcare,7,273,4,9.42,3,0.84,2,458.42,0,1.59
P0650,Retail,8,369,13,1.01,2,0.49,3,380.4,1,7.31
P0651,Finance,12,170,7,4.31,5,0.46,2,206.18,0,3.95
P0652,Manufacturing,10,67,11,1.07,3,0.92,4,55.2,0,7.01
P0653,Manufacturing,16,62,16,9.16,0,0.77,4,136.84,0,7.81
P0654,Technology,12,113,8,7.16,3,0.35,3,161.25,0,4.95
P0655,Technology,6,474,13,9.66,2,0.58,4,746.28,0,8.52
P0656,Technology,16,235,17,5.8,1,0.3,1,299.66,0,2.27
P0657,Finance,11,86,6,1.64,5,0.46,3,83.27,1,7.88
P0658,Retail,5,401,14,1.01,3,0.2,4,316.0,1,10.0
P0659,Technology,11,55,8,1.01,0,0.48,4,62.48,1,9.8
P0660,Manufacturing,15,77,16,1.71,1,0.05,2,57.12,1,5.54
P0661,Finance,5,355,21,7.78,1,0.12,2,483.8,0,4.07
P0662,Finance,8,246,22,4.78,1,0.81,5,360.52,0,10.0
P0663,Technology,15,126,9,7.34,2,0.69,2,208.18,0,5.01
P0664,Retail,13,327,16,3.2,0,0.31,3,391.64,0,6.36
P0665,Technology,9,285,17,7.23,2,0.79,2,460.02,0,2.17
P0666,Technology,10,441,23,6.48,1,0.13,3,561.14,0,6.16
P0667,Finance,9,419,20,2.8,3,0.41,2,454.04,1,6.02
P0668,Manufacturing,20,368,5,3.84,2,0.19,5,409.46,1,10.0
P0669,Retail,7,283,3,6.7,4,0.73,4,417.54,0,10.0
P0670,Manufacturing,12,465,10,8.58,2,0.36,3,693.4,0,6.04
P0671,Retail,12,312,8,6.13,1,0.43,5,421.96,0,9.77
P0672,Finance,7,228,13,6.05,3,0.38,1,306.6,0,2.74
P0673,Technology,8,359,4,7.7,2,0.0,3,447.91,0,5.83
P0674,Retail,9,81,19,7.6,1,0.41,1,113.49,0,1.86
P0675,Healthcare,11,176,22,1.27,2,0.89,3,233.88,0,7.09
P0676,Retail,12,302,15,6.29,1,0.92,2,464.18,0,2.82
P0677,Healthcare,5,90,4,7.86,2,0.71,3,143.68,0,5.37
P0678,Retail,9,129,22,8.11,7,0.63,4,177.21,0,7.94
P0679,Manufacturing,19,93,4,9.31,4,0.68,5,141.68,0,9.96
P0680,Retail,20,344,16,6.64,5,0.73,1,510.02,0,0.0
P0681,Manufacturing,5,473,14,4.69,0,0.75,4,652.66,0,7.13
P0682,Finance,20,127,5,2.53,1,0.81,3,184.6,0,5.55
P0683,Healthcare,10,393,8,2.41,1,0.99,5,501.74,0,8.69
P0684,Manufacturing,9,357,16,5.11,3,0.7,2,529.52,0,3.18
P0685,Healthcare,16,175,12,2.21,2,0.6,2,189.53,0,3.77
P0686,Healthcare,8,401,18,4.75,4,0.27,4,475.99,0,7.17
P0687,Healthcare,11,258,15,3.31,2,0.88,1,305.48,0,1.2
P0688,Healthcare,10,345,6,1.11,1,0.15,4,332.31,1,10.0
P0689,Healthcare,9,436,22,3.53,2,0.96,1,585.23,0,3.36
P0690,Retail,13,50,20,1.61,3,0.53,5,51.99,0,9.98
P0691,Technology,19,429,11,1.02,0,0.23,2,405.62,1,9.24
P0692,Technology,4,311,16,9.54,0,0.07,1,471.19,0,2.85
P0693,Finance,16,444,21,4.03,2,0.12,1,498.4,1,4.21
P0694,Retail,3,495,20,2.71,2,0.99,4,616.32,0,7.8
P0695,Technology,11,320,8,5.01,2,0.72,3,433.92,0,5.53
P0696,Technology,9,206,17,2.29,1,0.98,5,246.04,0,10.0
P0697,Technology,8,294,17,3.65,2,0.87,5,393.48,0,9.87
P0698,Finance,18,173,22,6.29,4,0.92,3,252.19,0,6.46
P0699,Technology,19,486,9,2.45,5,0.58,2,559.78,0,2.62
P0700,Manufacturing,10,284,3,5.33,0,0.41,1,367.28,0,3.02
P0701,Technology,8,357,5,8.63,5,0.37,3,525.78,0,7.53
P0702,Healthcare,9,63,20,8.46,1,0.45,4,79.61,0,7.79
P0703,Technology,14,266,11,9.56,3,0.09,3,351.31,0,7.78
P0704,Retail,17,114,14,6.61,0,0.06,3,147.42,0,5.01
P0705,Retail,7,264,14,5.95,4,0.11,1,331.18,0,2.45
P0706,Healthcare,18,128,21,8.58,2,0.74,4,226.84,0,6.78
P0707,Manufacturing,17,120,17,8.24,1,0.4,3,165.09,0,6.18
P0708,Technology,12,353,14,5.42,0,0.58,4,466.51,0,8.29
P0709,Retail,9,429,19,5.67,2,0.06,1,516.44,0,3.52
P0710,Manufacturing,7,82,10,1.58,4,0.95,3,85.47,0,6.62
P0711,Finance,17,206,15,3.77,3,0.64,5,255.75,0,8.88
P0712,Technology,13,390,7,5.47,0,0.55,3,528.06,0,7.4
P0713,Manufacturing,18,460,12,1.23,0,0.05,3,412.02,1,8.03
P0714,Retail,10,201,14,3.8,1,0.89,1,260.44,0,4.6
P0715,Retail,18,315,6,7.64,1,0.32,3,463.16,0,5.1
P0716,Healthcare,14,208,23,7.58,0,0.54,1,315.26,0,2.27
P0717,Healthcare,20,439,22,3.79,1,0.27,4,489.12,1,10.0
P0718,Healthcare,10,220,10,9.21,4,0.71,3,354.42,0,5.33
P0719,Technology,10,220,6,4.43,2,0.16,1,259.59,0,2.53
P0720,Technology,6,114,12,9.12,0,0.28,1,156.29,0,1.46
P0721,Finance,6,83,3,9.45,2,1.0,5,146.05,0,7.45
P0722,Technology,10,271,6,4.51,1,0.94,3,375.03,0,7.37
P0723,Technology,9,333,21,5.85,1,0.76,1,486.82,0,2.71
P0724,Technology,5,73,10,8.64,1,0.72,5,116.0,0,10.0
P0725,Retail,10,284,22,2.79,3,0.1,4,250.34,1,9.71
P0726,Finance,19,487,10,7.62,4,0.65,3,712.3,0,7.9
P0727,Retail,15,141,3,9.86,2,0.74,5,238.85,0,9.76
P0728,Finance,5,99,18,9.48,2,0.57,5,181.25,0,9.46
P0729,Healthcare,19,134,3,9.19,4,0.97,1,243.49,0,1.75
P0730,Retail,8,261,20,1.87,2,0.73,1,294.71,0,2.8
P0731,Healthcare,3,273,13,5.77,4,0.43,2,369.97,0,5.49
P0732,Retail,13,141,23,6.39,0,0.24,3,200.63,0,6.47
P0733,Manufacturing,18,491,4,6.77,2,0.65,5,728.07,0,10.0
P0734,Manufacturing,3,302,6,3.39,4,0.45,2,375.52,0,4.34
P0735,Manufacturing,4,53,13,9.08,2,0.75,5,78.23,0,9.31
P0736,Technology,12,187,19,2.14,1,0.08,2,188.91,1,5.89
P0737,Technology,17,289,17,5.51,0,0.48,3,381.74,0,5.72
P0738,Technology,19,196,3,8.78,4,0.3,1,287.32,0,1.46
P0739,Technology,12,308,9,7.69,2,0.63,5,440.97,0,8.69
P0740,Healthcare,19,401,14,1.23,1,0.63,4,427.93,0,7.84
P0741,Retail,20,368,20,7.35,1,0.6,4,567.48,0,7.29
P0742,Finance,11,148,17,8.38,2,0.53,2,243.68,0,3.03
P0743,Retail,16,90,6,6.34,0,0.27,2,120.92,0,3.81
P0744,Technology,14,171,22,8.71,2,0.2,5,260.72,0,9.65
P0745,Retail,12,430,14,2.66,1,0.56,2,524.42,0,3.65
P0746,Healthcare,10,342,6,9.76,0,0.54,2,564.42,0,2.81
P0747,Retail,11,313,15,2.73,4,0.54,2,345.55,0,5.23
P0748,Finance,7,124,18,9.9,1,0.89,4,211.05,0,9.31
P0749,Healthcare,7,323,6,2.42,1,0.5,1,351.86,1,4.67
P0750,Healthcare,16,379,4,3.61,2,0.27,3,413.23,1,8.01
P0751,Finance,4,255,14,9.0,1,0.97,5,450.64,0,9.84
P0752,Technology,13,245,15,4.92,4,0.12,4,281.45,1,10.0
